acousticness,artist,danceability,day,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,month,position,speechiness,tempo,time_signature,title,valence,year
0.000671,pepsi & shirlie,0.779,29.0,458760.0,0.903,0.259,0.0,0.0713,-7.521,1.0,8.0,2.0,0.0497,123.591,4.0,heartache (remix),0.82,1987.0
0.00929,promise circle,0.75,5.0,250311.0,0.911,0.702,1.0,0.0268,-5.835,0.0,9.0,8.0,0.041,119.849,4.0,be mine tonight,0.961,1987.0
0.0368,noel,0.744,12.0,264467.0,0.817,0.000508,11.0,0.0311,-10.939,0.0,9.0,6.0,0.0381,116.049,4.0,silent morning,0.899,1987.0
0.0977,bananarama,0.666,19.0,204336.0,0.962,5.4e-05,11.0,0.196,-4.087,0.0,9.0,3.0,0.038,123.372,4.0,i heard a rumour,0.92,1987.0
0.000191,criminal element orchestra,0.688,19.0,494003.0,0.935,0.366,11.0,0.0373,-5.968,0.0,9.0,10.0,0.0613,116.092,4.0,put the needle to the record,0.88,1987.0
0.187,erasure,0.768,3.0,221360.0,0.836,0.000342,9.0,0.0452,-6.903,1.0,10.0,1.0,0.0379,109.683,4.0,victim of love (remix),0.593,1987.0
0.108,new order,0.591,3.0,351027.0,0.891,0.17,0.0,0.089,-6.99,1.0,10.0,3.0,0.0312,116.989,4.0,true faith (remix),0.931,1987.0
0.0369,jody watley,0.713,10.0,322267.0,0.809,0.0063,5.0,0.065,-10.453,1.0,10.0,1.0,0.051,114.669,4.0,don't you want me (remix),0.678,1987.0
0.0234,hazell dean,0.652,17.0,426693.0,0.795,0.00133,5.0,0.0886,-12.011,1.0,10.0,10.0,0.0441,120.274,4.0,always doesn't mean forever,0.854,1987.0
0.252,pet shop boys,0.538,7.0,299307.0,0.86,0.000527,0.0,0.247,-5.916,0.0,11.0,3.0,0.0435,127.153,4.0,it's a sin,0.291,1987.0
0.07,taylor dayne,0.677,7.0,220227.0,0.985,3.62e-05,1.0,0.351,-4.678,1.0,11.0,4.0,0.0549,118.092,4.0,tell it to my heart,0.87,1987.0
